episode_id,scene,seed,method,budget,snapshot_count,eligible_instances,recalled_instances,tcobr,continuous_boundary_utility,critical_boundary_hq_coverage,critical_region_psnr_db,full_psnr_db,full_ssim,mean_charged_bytes,mean_utilization,mean_roi_area_ratio
m7_v1_development_m7c1_seed710100,M7C1,710100,command_conditioned_risk_roi,high,4,1,1,1.0,1.0,0.0,37.817243234719975,36.597812892917545,0.9444778624905844,33822.75,0.9699392044965731,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,command_conditioned_risk_roi,low,4,1,1,1.0,1.0,0.0,34.163802914403284,32.765130415467624,0.8945721487963874,32307.5,0.9979458824983011,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,command_conditioned_risk_roi,medium,4,1,1,1.0,1.0,0.0,36.1843376867222,35.03686524368346,0.9258700290286412,32999.5,0.9847951296666567,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,command_conditioned_risk_roi,severe,4,1,1,1.0,0.9354838709677419,0.0,26.3044100216176,22.686394325462928,0.728782737263586,31381.75,0.9973225068327718,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,state_only_risk_roi,high,4,1,1,1.0,1.0,0.0,37.817243234719975,36.597812892917545,0.9444778624905844,33813.75,0.9696811103782513,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,state_only_risk_roi,low,4,1,1,1.0,1.0,0.0,34.163802914403284,32.765130415467624,0.8945721487963874,32298.5,0.9976678816334096,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,state_only_risk_roi,medium,4,1,1,1.0,1.0,0.0,36.1843376867222,35.03686524368346,0.9258700290286412,32990.5,0.9845265451072847,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,state_only_risk_roi,severe,4,1,1,1.0,0.9354838709677419,0.0,26.3044100216176,22.686394325462928,0.728782737263586,31372.75,0.9970364838238098,0.026041666666666664
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_corridor_edges,high,4,1,1,1.0,1.0,0.2903225806451613,38.69975645625378,37.03731526236468,0.9463154600606827,33817.75,0.9697958188752832,0.39062500000000006
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_corridor_edges,low,4,1,1,1.0,1.0,0.0,34.163802914403284,32.940528735786444,0.8965244275028298,32302.25,0.9977837153271143,0.14583333333333331
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_corridor_edges,medium,4,1,1,1.0,1.0,0.16129032258064516,36.31894872325743,35.25123975270135,0.9270491750730724,32994.5,0.9846459160225611,0.22395833333333334
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_corridor_edges,severe,4,1,1,1.0,0.9354838709677419,0.0,26.540448739157885,23.13898227618798,0.7287591765332783,31376.5,0.997155660077544,0.25
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_global_only,high,4,1,1,1.0,1.0,0.7741935483870968,39.22074051592948,37.05889535753683,0.9462651885997921,33817.5,0.9697886495942187,0.390625
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_global_only,low,4,1,1,1.0,1.0,0.0,34.21531956625693,33.02708172922815,0.8970344287177094,32302.25,0.9977837153271143,0.15104166666666666
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_global_only,medium,4,1,1,1.0,1.0,0.6451612903225806,36.23926140253754,35.27103192322272,0.9272088667656263,32994.5,0.9846459160225611,0.24479166666666666
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_global_only,severe,4,1,1,1.0,0.9354838709677419,0.0,26.540448739157885,23.199770145052817,0.7298003120547862,31376.25,0.9971477149939618,0.2552083333333333
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_visible_edges,high,4,1,1,1.0,1.0,0.6129032258064516,39.490704061681015,36.933785268898866,0.9454427175834693,33817.25,0.9697814803131543,0.32812499999999994
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_visible_edges,low,4,1,1,1.0,1.0,0.3225806451612903,34.46940677430888,32.899506116390626,0.8958498713869678,32302.25,0.9977837153271143,0.11979166666666667
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_visible_edges,medium,4,1,1,1.0,1.0,0.6129032258064516,36.32018059989331,35.199460756386316,0.9264640573056977,32994.5,0.9846459160225611,0.21875000000000003
m7_v1_development_m7c1_seed710100,M7C1,710100,v2_visible_edges,severe,4,1,1,1.0,0.9354838709677419,0.0,26.540448739157885,23.11863426993185,0.7249917861046374,31376.5,0.997155660077544,0.234375
m7_v1_development_m7c1_seed710101,M7C1,710101,command_conditioned_risk_roi,high,4,1,1,1.0,1.0,0.0,44.72859533461305,36.690299334968536,0.9444202499386755,33874.0,0.9714089071147946,0.03645833333333333
m7_v1_development_m7c1_seed710101,M7C1,710101,command_conditioned_risk_roi,low,4,1,1,1.0,1.0,0.0,39.40390876456799,32.910843900942716,0.8955873922857066,32301.25,0.9977528263421264,0.03645833333333333
m7_v1_development_m7c1_seed710101,M7C1,710101,command_conditioned_risk_roi,medium,4,1,1,1.0,1.0,0.0,45.54922307137954,35.13112706704693,0.9266924523784432,33011.5,0.9851532424124861,0.03645833333333333
m7_v1_development_m7c1_seed710101,M7C1,710101,command_conditioned_risk_roi,severe,4,1,1,1.0,1.0,0.0,28.85066973200327,22.788932860259045,0.7447527701696874,31385.75,0.9974496281700884,0.03645833333333333
m7_v1_development_m7c1_seed710101,M7C1,710101,state_only_risk_roi,high,4,1,1,1.0,1.0,0.0,44.72859533461305,36.690299334968536,0.9444202499386755,33865.0,0.9711508129964728,0.03645833333333333
m7_v1_development_m7c1_seed710101,M7C1,710101,state_only_risk_roi,low,4,1,1,1.0,1.0,0.0,39.40390876456799,32.910843900942716,0.8955873922857066,32292.25,0.9974748254772348,0.03645833333333333
