episode_id,attempt_id,scene,seed,snapshot_id,method,budget,budget_bytes,charged_bytes,utilization,quality_map,high_quality_tile_count,roi_area_ratio,eligible_instances,recalled_instances,eligible_boundary_edges,matched_boundary_edges,tcobr,continuous_boundary_utility,critical_boundary_edges,critical_boundary_hq_pixels,critical_boundary_hq_coverage,critical_region_pixels,critical_region_mse,critical_region_psnr_db,full_mse,full_psnr_db,full_ssim,case_digest
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,state_only_risk_roi,medium,33509,32986,0.9843922528275986,45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;75;45;45;45,48,0.020833333333333332,1,1,31,31,1.0,1.0,31,0,0.0,2633,15.65476642612989,36.1843376867222,22.931527777777777,34.526473709720115,0.9280963663432479,bca334c388b6e2df33b21b9d512a23382b8ebacf1ee92e6109176e81b55a6241
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,command_conditioned_risk_roi,medium,33509,32995,0.9846608373869706,45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;75;45;45;45,48,0.020833333333333332,1,1,31,31,1.0,1.0,31,0,0.0,2633,15.65476642612989,36.1843376867222,22.931527777777777,34.526473709720115,0.9280963663432479,d5bbf21eaa475f9a2e537577386b0123afb409dd69c3def665fafc9b999bd936
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_global_only,medium,33509,32990,0.984511623742875,45;55;45;45;45;45;45;55;45;55;55;55;55;45;45;45;45;45;45;45;45;45;45;45;45;55;45;45;45;55;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45,48,0.16666666666666666,1,1,31,31,1.0,1.0,31,20,0.6451612903225806,2633,15.458032662362324,36.23926140253754,21.877222222222223,34.73088182609852,0.9293714668518748,1bfe9b8dfe2b5a6c8fcfef58e61f42e2c1d2f8fd4b55340308a8b3749e9d5c38
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_visible_edges,medium,33509,32990,0.984511623742875,45;55;45;45;45;45;45;45;45;55;45;55;55;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;55;45;55;45;45;55;45;45;45,48,0.14583333333333334,1,1,31,31,1.0,1.0,31,19,0.6129032258064516,2633,15.172680086086846,36.32018059989331,22.23375,34.66067642795228,0.9294744151313784,e7b6c043a80b37866e8b35c17a956d65c91104b9b5109f10137645403fbb31a2
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_corridor_edges,medium,33509,32990,0.984511623742875,45;45;45;45;45;45;45;45;45;55;55;55;55;45;45;45;45;45;45;45;45;45;45;45;45;55;45;45;45;55;45;45;45;45;45;45;45;45;45;45;45;45;45;45;55;45;45;45,48,0.14583333333333334,1,1,31,31,1.0,1.0,31,5,0.16129032258064516,2633,15.176984428408659,36.31894872325743,22.01751736111111,34.703120134054316,0.9292949946352177,ca9682d9edad02c5088e6a49616ec29f607ac9ecadf6dc8bcf83d6aae7f587da
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,state_only_risk_roi,high,34871,33705,0.966562473115196,65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;95;65;65;65,48,0.020833333333333332,1,1,31,31,1.0,1.0,31,0,0.0,2633,10.748702367388278,37.817243234719975,15.394878472222222,36.25704095952929,0.9464077476060112,3cb0b44b7b151d9c32d4a53228068b06c462878110ad6cd314f3ff29f1bb21bd
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,command_conditioned_risk_roi,high,34871,33714,0.9668205672335178,65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;65;95;65;65;65,48,0.020833333333333332,1,1,31,31,1.0,1.0,31,0,0.0,2633,10.748702367388278,37.817243234719975,15.394878472222222,36.25704095952929,0.9464077476060112,d36d6a14cef83434c6de9abecfab15b3283f99a7cdaaa2b6303d923e6f1ac180
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_global_only,high,34871,33709,0.9666771816122279,75;75;65;75;65;65;65;65;75;65;65;65;65;65;65;65;75;65;65;65;65;65;65;65;75;75;65;65;65;65;75;65;75;65;65;75;65;65;65;65;65;75;65;65;65;65;65;65,48,0.22916666666666666,1,1,31,31,1.0,1.0,31,24,0.7741935483870968,2633,7.780478541587542,39.22074051592948,14.216840277777777,36.60277276598415,0.9465466926724274,da3afd39235335d366812419568cc40d08b2b604e17751dc6772105c3f342cb8
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_visible_edges,high,34871,33708,0.9666485044879699,75;75;65;75;65;65;75;65;75;75;65;65;65;65;65;65;75;65;65;65;65;65;65;65;75;65;65;65;65;65;65;65;75;65;65;75;65;65;75;75;65;75;65;65;65;65;65;65,48,0.2708333333333333,1,1,31,31,1.0,1.0,31,19,0.6129032258064516,2633,7.311558425117103,39.490704061681015,14.536180555555555,36.50630052113168,0.9454997740484874,cc084dac16063cb2f27f72afd54d081139ce5e86467859e0171b616418fa951d
m7_v1_development_m7c1_seed710100,m7v1d-m7c1-710100,M7C1,710100,0,v2_corridor_edges,high,34871,33709,0.9666771816122279,75;65;65;75;75;65;75;75;75;65;75;65;65;65;65;65;75;65;65;65;65;65;65;65;75;75;65;65;65;65;75;65;75;65;65;65;65;65;65;65;65;75;65;75;75;65;65;65,48,0.3125,1,1,31,31,1.0,1.0,31,9,0.2903225806451613,2633,8.772123053551082,38.69975645625378,14.432048611111112,36.53752377844257,0.9472775463564274,dabb8af94f57767e546d87bb5a5ccbd536c4f1fa75c742ca3fd2fac9dc2f9618
