episode_id,scene,seed,snapshot_id,method,budget,roi_pixels,selected_tiles,enhanced_quality,background_quality,charged_bytes,tile_payload_bytes,critical_tile_payload_bytes,critical_tile_payload_fraction,critical_region_pixels,critical_boundary_edge_pixels,eligible_boundary_edge_pixels,critical_boundary_high_quality_coverage,eligible_boundary_high_quality_coverage,critical_region_mse,critical_region_psnr_db,eligible_boundary_mse,eligible_boundary_psnr_db,tcobr_eligible,tcobr_recalled,tcobr,reconstruction_sha256
m6a_v3_formal_s1_seed630100,S1,630100,2,command_conditioned_risk_roi,severe,9,2,35,5,31361,30957,23199,0.7493943211551507,10920,7,0,0.0,,106.27713675213676,27.866405154448554,,,0,0,,1f1609f89d446be295129649f69a9fd51c9bd5b81fb70f3c8c75d74dcbf9f6fa
m6a_v3_formal_s1_seed630100,S1,630100,2,command_conditioned_risk_roi,low,9,2,75,45,32306,31902,23735,0.7439972415522538,10920,7,0,0.0,,7.772161172161172,39.22538562834341,,,0,0,,15687e0ecb7c152da657a856518f3d8ac72fb565017a4df7978fd98ed8fd7a61
m6a_v3_formal_s1_seed630100,S1,630100,2,command_conditioned_risk_roi,medium,9,2,95,65,32697,32293,23967,0.7421732263958133,10920,7,0,0.0,,4.084310134310134,42.01961648876713,,,0,0,,fb9056c00070a00080640e7617995be23e3b75154c6bc1acac85f4ff525e7a64
m6a_v3_formal_s1_seed630100,S1,630100,2,command_conditioned_risk_roi,high,9,2,95,65,32697,32293,23967,0.7421732263958133,10920,7,0,0.0,,4.084310134310134,42.01961648876713,,,0,0,,fb9056c00070a00080640e7617995be23e3b75154c6bc1acac85f4ff525e7a64
m6a_v3_formal_s1_seed630100,S1,630100,3,state_only_risk_roi,severe,9,1,35,5,31376,30981,7749,0.2501210419289242,3480,2,0,0.0,,173.02471264367816,25.749722242229602,,,0,0,,895997c7251be786ede8711f41b319eeb4e270f3da8d32d385ff3c9b2d600a93
m6a_v3_formal_s1_seed630100,S1,630100,3,state_only_risk_roi,low,9,1,55,25,32101,31706,7918,0.24973191194095753,3480,2,0,0.0,,23.069157088122605,34.50048634516078,,,0,0,,d647fbe2f90b0b90eeee376cc4f0c504987dc276721cecf34ebb8a34e2f43b48
m6a_v3_formal_s1_seed630100,S1,630100,3,state_only_risk_roi,medium,9,1,95,65,33441,33046,8174,0.24735217575500817,3480,2,0,0.0,,10.684099616858237,37.84342432206506,,,0,0,,876c3b0c1bd5f11d9611705e940a864adf86aa34e37e0189716c5685d6c81f50
m6a_v3_formal_s1_seed630100,S1,630100,3,state_only_risk_roi,high,9,1,95,65,33441,33046,8174,0.24735217575500817,3480,2,0,0.0,,10.684099616858237,37.84342432206506,,,0,0,,876c3b0c1bd5f11d9611705e940a864adf86aa34e37e0189716c5685d6c81f50
m6a_v3_formal_s1_seed630100,S1,630100,3,command_conditioned_risk_roi,severe,11,1,35,5,31389,30981,7749,0.2501210419289242,3480,2,0,0.0,,173.02471264367816,25.749722242229602,,,0,0,,895997c7251be786ede8711f41b319eeb4e270f3da8d32d385ff3c9b2d600a93
m6a_v3_formal_s1_seed630100,S1,630100,3,command_conditioned_risk_roi,low,11,1,55,25,32114,31706,7918,0.24973191194095753,3480,2,0,0.0,,23.069157088122605,34.50048634516078,,,0,0,,d647fbe2f90b0b90eeee376cc4f0c504987dc276721cecf34ebb8a34e2f43b48
m6a_v3_formal_s1_seed630100,S1,630100,3,command_conditioned_risk_roi,medium,11,1,95,65,33454,33046,8174,0.24735217575500817,3480,2,0,0.0,,10.684099616858237,37.84342432206506,,,0,0,,876c3b0c1bd5f11d9611705e940a864adf86aa34e37e0189716c5685d6c81f50
m6a_v3_formal_s1_seed630100,S1,630100,3,command_conditioned_risk_roi,high,11,1,95,65,33454,33046,8174,0.24735217575500817,3480,2,0,0.0,,10.684099616858237,37.84342432206506,,,0,0,,876c3b0c1bd5f11d9611705e940a864adf86aa34e37e0189716c5685d6c81f50
m6a_v3_formal_s1_seed630101,S1,630101,0,state_only_risk_roi,severe,9,1,35,5,31443,31048,0,0.0,0,0,0,,,,,,,0,0,,0481348fdfc8628c6e225b58cc6bc1faea0b19f72c13724b7963e6caaa7e0c16
m6a_v3_formal_s1_seed630101,S1,630101,0,state_only_risk_roi,low,9,1,55,25,32303,31908,0,0.0,0,0,0,,,,,,,0,0,,f3fd2db1b0994680a75cf48baf05359c8a4b664df8e281e027d7df6035f3110f
m6a_v3_formal_s1_seed630101,S1,630101,0,state_only_risk_roi,medium,9,1,75,45,33027,32632,0,0.0,0,0,0,,,,,,,0,0,,be5a2295e575c4f43a852bc97983b682f84b1cec77d6e30ae222094b9042330e
m6a_v3_formal_s1_seed630101,S1,630101,0,state_only_risk_roi,high,9,1,95,65,33872,33477,0,0.0,0,0,0,,,,,,,0,0,,1c4c283d56e91621709692b555e4fbdad562d56ab4343946ee6bb3a775f8c6e1
m6a_v3_formal_s1_seed630101,S1,630101,0,command_conditioned_risk_roi,severe,9,1,35,5,31452,31048,0,0.0,0,0,0,,,,,,,0,0,,0481348fdfc8628c6e225b58cc6bc1faea0b19f72c13724b7963e6caaa7e0c16
m6a_v3_formal_s1_seed630101,S1,630101,0,command_conditioned_risk_roi,low,9,1,55,25,32312,31908,0,0.0,0,0,0,,,,,,,0,0,,f3fd2db1b0994680a75cf48baf05359c8a4b664df8e281e027d7df6035f3110f
m6a_v3_formal_s1_seed630101,S1,630101,0,command_conditioned_risk_roi,medium,9,1,75,45,33036,32632,0,0.0,0,0,0,,,,,,,0,0,,be5a2295e575c4f43a852bc97983b682f84b1cec77d6e30ae222094b9042330e
m6a_v3_formal_s1_seed630101,S1,630101,0,command_conditioned_risk_roi,high,9,1,95,65,33881,33477,0,0.0,0,0,0,,,,,,,0,0,,1c4c283d56e91621709692b555e4fbdad562d56ab4343946ee6bb3a775f8c6e1
m6a_v3_formal_s1_seed630101,S1,630101,1,state_only_risk_roi,severe,9,1,35,5,31445,31050,0,0.0,0,0,0,,,,,,,0,0,,7c6ddda25b4c7154c000880e2bf8fac1772d5805cbcacbe635ef2c628c72f6bf
m6a_v3_formal_s1_seed630101,S1,630101,1,state_only_risk_roi,low,9,1,55,25,32257,31862,0,0.0,0,0,0,,,,,,,0,0,,78c365603999c4ff07a2734e08031a4b88745db5a3423668e74c5fb525072dda
m6a_v3_formal_s1_seed630101,S1,630101,1,state_only_risk_roi,medium,9,1,75,45,32895,32500,0,0.0,0,0,0,,,,,,,0,0,,2e922911bcf50302501acc43212d6384a202ffddaf46da7e220416b0f4ff5bbe
m6a_v3_formal_s1_seed630101,S1,630101,1,state_only_risk_roi,high,9,1,95,65,33805,33410,0,0.0,0,0,0,,,,,,,0,0,,27507c5cbce40f0de7d1704f1f5ae1dce552b6fbc13a8ea9bab5758168211b49
m6a_v3_formal_s1_seed630101,S1,630101,1,command_conditioned_risk_roi,severe,9,1,35,5,31454,31050,0,0.0,0,0,0,,,,,,,0,0,,7c6ddda25b4c7154c000880e2bf8fac1772d5805cbcacbe635ef2c628c72f6bf
m6a_v3_formal_s1_seed630101,S1,630101,1,command_conditioned_risk_roi,low,9,1,55,25,32266,31862,0,0.0,0,0,0,,,,,,,0,0,,78c365603999c4ff07a2734e08031a4b88745db5a3423668e74c5fb525072dda
m6a_v3_formal_s1_seed630101,S1,630101,1,command_conditioned_risk_roi,medium,9,1,75,45,32904,32500,0,0.0,0,0,0,,,,,,,0,0,,2e922911bcf50302501acc43212d6384a202ffddaf46da7e220416b0f4ff5bbe
m6a_v3_formal_s1_seed630101,S1,630101,1,command_conditioned_risk_roi,high,9,1,95,65,33814,33410,0,0.0,0,0,0,,,,,,,0,0,,27507c5cbce40f0de7d1704f1f5ae1dce552b6fbc13a8ea9bab5758168211b49
m6a_v3_formal_s1_seed630101,S1,630101,2,state_only_risk_roi,severe,9,2,35,5,31357,30962,23205,0.7494670886893612,11280,11,0,0.0,,122.9434988179669,27.233747924302797,,,0,0,,0b9b9526d6a19c6ff933f6f50428b307b2e6e6a00c0569c21d4e238374e4612f
m6a_v3_formal_s1_seed630101,S1,630101,2,state_only_risk_roi,low,9,2,55,25,31965,31570,23597,0.747450110864745,11280,11,0,0.0,,26.464804964539006,33.90411663112572,,,0,0,,fdeb512502df48c3b9fc6934c241a8a7f5c94403557684a63bee77cafe250fa7
m6a_v3_formal_s1_seed630101,S1,630101,2,state_only_risk_roi,medium,9,2,95,65,32895,32500,24174,0.7438153846153847,11280,11,0,0.0,,8.91119976359338,38.631441814516116,,,0,0,,a0dfdaef8e393f5619956b82d569bddce1989c8838a7e36d61ed57233b5d209a
m6a_v3_formal_s1_seed630101,S1,630101,2,state_only_risk_roi,high,9,2,95,65,32895,32500,24174,0.7438153846153847,11280,11,0,0.0,,8.91119976359338,38.631441814516116,,,0,0,,a0dfdaef8e393f5619956b82d569bddce1989c8838a7e36d61ed57233b5d209a
m6a_v3_formal_s1_seed630101,S1,630101,2,command_conditioned_risk_roi,severe,9,2,35,5,31366,30962,23205,0.7494670886893612,11280,11,0,0.0,,122.9434988179669,27.233747924302797,,,0,0,,0b9b9526d6a19c6ff933f6f50428b307b2e6e6a00c0569c21d4e238374e4612f
m6a_v3_formal_s1_seed630101,S1,630101,2,command_conditioned_risk_roi,low,9,2,55,25,31974,31570,23597,0.747450110864745,11280,11,0,0.0,,26.464804964539006,33.90411663112572,,,0,0,,fdeb512502df48c3b9fc6934c241a8a7f5c94403557684a63bee77cafe250fa7
m6a_v3_formal_s1_seed630101,S1,630101,2,command_conditioned_risk_roi,medium,9,2,95,65,32904,32500,24174,0.7438153846153847,11280,11,0,0.0,,8.91119976359338,38.631441814516116,,,0,0,,a0dfdaef8e393f5619956b82d569bddce1989c8838a7e36d61ed57233b5d209a
m6a_v3_formal_s1_seed630101,S1,630101,2,command_conditioned_risk_roi,high,9,2,95,65,32904,32500,24174,0.7438153846153847,11280,11,0,0.0,,8.91119976359338,38.631441814516116,,,0,0,,a0dfdaef8e393f5619956b82d569bddce1989c8838a7e36d61ed57233b5d209a
m6a_v3_formal_s1_seed630101,S1,630101,3,state_only_risk_roi,severe,9,1,35,5,31349,30954,11599,0.3747173224785165,6000,5,0,0.0,,159.20627777777779,26.111201721490907,,,0,0,,b77cd54328cef7e463759dd65b2d83917bedeefa3d45399188c4d2b15a497bd9
m6a_v3_formal_s1_seed630101,S1,630101,3,state_only_risk_roi,low,9,1,55,25,31990,31595,11784,0.37297040670992243,6000,5,0,0.0,,16.762777777777778,35.88734373208462,,,0,0,,d648665d7af2d3d613173cb10db47206060689e5960d0790bab0197d18153602
m6a_v3_formal_s1_seed630101,S1,630101,3,state_only_risk_roi,medium,9,1,95,65,33179,32784,12040,0.36725231820400195,6000,5,0,0.0,,9.326611111111111,38.43356492373481,,,0,0,,72bd65f4f56affc7daee087872cf57ae0f319dca6eed90ba73589b9f0ac75713
m6a_v3_formal_s1_seed630101,S1,630101,3,state_only_risk_roi,high,9,1,95,65,33179,32784,12040,0.36725231820400195,6000,5,0,0.0,,9.326611111111111,38.43356492373481,,,0,0,,72bd65f4f56affc7daee087872cf57ae0f319dca6eed90ba73589b9f0ac75713
m6a_v3_formal_s1_seed630101,S1,630101,3,command_conditioned_risk_roi,severe,11,1,35,5,31362,30954,11599,0.3747173224785165,6000,5,0,0.0,,159.20627777777779,26.111201721490907,,,0,0,,b77cd54328cef7e463759dd65b2d83917bedeefa3d45399188c4d2b15a497bd9
m6a_v3_formal_s1_seed630101,S1,630101,3,command_conditioned_risk_roi,low,11,1,55,25,32003,31595,11784,0.37297040670992243,6000,5,0,0.0,,16.762777777777778,35.88734373208462,,,0,0,,d648665d7af2d3d613173cb10db47206060689e5960d0790bab0197d18153602
m6a_v3_formal_s1_seed630101,S1,630101,3,command_conditioned_risk_roi,medium,11,1,95,65,33192,32784,12040,0.36725231820400195,6000,5,0,0.0,,9.326611111111111,38.43356492373481,,,0,0,,72bd65f4f56affc7daee087872cf57ae0f319dca6eed90ba73589b9f0ac75713
