episode_id,scene,seed,method,budget,eligible_instances,recalled_instances,absolute_tcobr,mean_critical_region_psnr_db,mean_eligible_boundary_psnr_db,mean_critical_tile_payload_bytes,mean_critical_boundary_high_quality_coverage
m6a_v3_formal_s2_seed630202,S2,630202,command_conditioned_risk_roi,high,1,1,1.0,36.108814032790264,22.75156376413157,5879.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,command_conditioned_risk_roi,low,1,1,1.0,26.527801195165445,17.374178462898115,5214.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,command_conditioned_risk_roi,medium,1,1,1.0,33.30212188657527,20.69296309003253,5523.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,command_conditioned_risk_roi,severe,1,1,1.0,23.761006899915284,15.186325062658668,5174.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,state_only_risk_roi,high,1,1,1.0,36.108814032790264,22.75156376413157,5879.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,state_only_risk_roi,low,1,1,1.0,32.16989272974291,20.170266604653705,5382.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,state_only_risk_roi,medium,1,1,1.0,33.30212188657527,20.69296309003253,5523.0,0.15
m6a_v3_formal_s2_seed630202,S2,630202,state_only_risk_roi,severe,1,1,1.0,23.761006899915284,15.186325062658668,5174.0,0.15
m6a_v3_formal_s2_seed630203,S2,630203,command_conditioned_risk_roi,high,1,1,1.0,35.893633126028455,25.049508942452828,5845.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,command_conditioned_risk_roi,low,1,1,1.0,31.05257229389131,19.841639917929573,5363.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,command_conditioned_risk_roi,medium,1,0,0.0,32.834513401168486,21.599482794442928,5498.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,command_conditioned_risk_roi,severe,1,0,0.0,24.95397897651045,17.412119851153854,5172.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,state_only_risk_roi,high,1,1,1.0,35.893633126028455,25.049508942452828,5845.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,state_only_risk_roi,low,1,1,1.0,31.05257229389131,19.841639917929573,5363.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,state_only_risk_roi,medium,1,0,0.0,32.834513401168486,21.599482794442928,5498.0,0.08333333333333333
m6a_v3_formal_s2_seed630203,S2,630203,state_only_risk_roi,severe,1,0,0.0,24.95397897651045,17.412119851153854,5172.0,0.08333333333333333
m6a_v3_formal_s3_seed630300,S3,630300,command_conditioned_risk_roi,high,1,1,1.0,39.73292364159144,30.68689574686178,16249.5,0.0625
m6a_v3_formal_s3_seed630300,S3,630300,command_conditioned_risk_roi,low,1,1,1.0,34.35481304191259,24.890981733853614,15810.0,0.0625
m6a_v3_formal_s3_seed630300,S3,630300,command_conditioned_risk_roi,medium,1,1,1.0,39.73292364159144,30.68689574686178,16249.5,0.0625
m6a_v3_formal_s3_seed630300,S3,630300,command_conditioned_risk_roi,severe,1,1,1.0,25.556840326540392,20.03032759916822,15517.5,0.0625
m6a_v3_formal_s3_seed630300,S3,630300,state_only_risk_roi,high,1,1,1.0,39.65033357457957,30.091114072322576,16201.0,0.01875
m6a_v3_formal_s3_seed630300,S3,630300,state_only_risk_roi,low,1,1,1.0,34.29550807571097,24.232647978559335,15798.0,0.01875
m6a_v3_formal_s3_seed630300,S3,630300,state_only_risk_roi,medium,1,1,1.0,39.65033357457957,30.091114072322576,16201.0,0.01875
m6a_v3_formal_s3_seed630300,S3,630300,state_only_risk_roi,severe,1,1,1.0,25.50284733204922,19.408682260911824,15505.5,0.01875
m6a_v3_formal_s3_seed630301,S3,630301,command_conditioned_risk_roi,high,1,1,1.0,38.49004093040929,31.349444690367886,18210.5,0.0
m6a_v3_formal_s3_seed630301,S3,630301,command_conditioned_risk_roi,low,1,1,1.0,33.496073088370636,24.215724418401038,17764.5,0.0
m6a_v3_formal_s3_seed630301,S3,630301,command_conditioned_risk_roi,medium,1,1,1.0,38.49004093040929,31.349444690367886,18210.5,0.0
m6a_v3_formal_s3_seed630301,S3,630301,command_conditioned_risk_roi,severe,1,1,1.0,25.42686420170294,17.804947378223666,17427.5,0.0
m6a_v3_formal_s3_seed630301,S3,630301,state_only_risk_roi,high,1,1,1.0,38.46964279212963,31.349444690367886,18204.5,0.0
