episode_id,scene,seed,snapshot_id,budget,state_roi_pixels,command_roi_pixels,roi_intersection_pixels,roi_union_pixels,roi_jaccard,roi_xor_pixels,roi_xor_fraction,state_selected_tiles,command_selected_tiles,tile_intersection,tile_union,tile_jaccard,tile_xor_count,tile_xor_fraction,quality_xor_tiles,quality_xor_fraction,identical_reconstruction
m6a_v3_formal_s2_seed630203,S2,630203,1,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,1,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,1,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,1,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,2,severe,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,2,low,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,2,medium,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,2,high,9,9,9,9,1.0,0,0.0,2,2,2,2,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,3,severe,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,3,low,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,3,medium,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s2_seed630203,S2,630203,3,high,9,11,5,15,0.3333333333333333,10,0.0005208333333333333,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,1,severe,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,1,low,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,1,medium,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,1,high,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,2,severe,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630300,S3,630300,2,low,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630300,S3,630300,2,medium,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630300,S3,630300,2,high,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
m6a_v3_formal_s3_seed630300,S3,630300,3,severe,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,3,low,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,3,medium,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630300,S3,630300,3,high,7,11,3,15,0.2,12,0.000625,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,0,severe,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,0,low,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,0,medium,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,0,high,9,9,9,9,1.0,0,0.0,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,1,severe,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,1,low,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,1,medium,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,1,high,10,11,5,16,0.3125,11,0.0005729166666666667,1,1,1,1,1.0,0,0.0,0,0.0,1
m6a_v3_formal_s3_seed630301,S3,630301,2,severe,9,13,5,17,0.29411764705882354,12,0.000625,1,2,1,2,0.5,1,0.020833333333333332,1,0.020833333333333332,0
