scene,budget,n_snapshots,mean_roi_jaccard,mean_roi_xor_fraction,mean_tile_jaccard,mean_tile_xor_fraction,mean_quality_xor_fraction,identical_reconstruction_fraction,state_defined_episodes,command_defined_episodes,state_absolute_tcobr,command_absolute_tcobr,state_critical_tile_payload_bytes,command_critical_tile_payload_bytes,state_critical_boundary_coverage,command_critical_boundary_coverage,state_critical_region_psnr_db,command_critical_region_psnr_db
S3,high,16,0.4516544117647059,0.0004557291666666666,0.875,0.005208333333333333,0.005208333333333333,0.75,4,4,1.0,1.0,17201.375,17243.375,0.08780232820976491,0.12053006329113923,40.6257871271228,40.71633671207118
S4,severe,16,0.4386335784313726,0.00046875,0.875,0.005208333333333333,0.005208333333333333,0.75,2,2,1.0,1.0,4856.875,4856.875,0.0,0.0,23.813319838491736,23.813319838491736
S4,low,16,0.4386335784313726,0.00046875,0.875,0.005208333333333333,0.005208333333333333,0.75,2,2,1.0,1.0,5012.375,5012.375,0.0,0.0,31.579434021963994,31.579434021963994
S4,medium,16,0.4386335784313726,0.00046875,0.875,0.005208333333333333,0.005208333333333333,0.75,2,2,1.0,1.0,5117.625,5117.625,0.0,0.0,33.65938226975051,33.65938226975051
S4,high,16,0.4386335784313726,0.00046875,0.875,0.005208333333333333,0.005208333333333333,0.75,2,2,1.0,1.0,5235.5,5235.5,0.0,0.0,35.97749354179719,35.97749354179719
S5,severe,16,0.8076923076923076,0.00013020833333333333,1.0,0.0,0.1875,0.8125,3,3,1.0,1.0,17453.25,17453.25,0.0757142857142857,0.0757142857142857,27.361134620236562,27.361134620236562
S5,low,16,0.8076923076923076,0.00013020833333333333,1.0,0.0,0.0,1.0,3,3,1.0,1.0,17797.25,17797.25,0.0757142857142857,0.0757142857142857,35.086426779318536,35.086426779318536
S5,medium,16,0.8076923076923076,0.00013020833333333333,1.0,0.0,0.0,1.0,3,3,1.0,1.0,18268.75,18268.75,0.0757142857142857,0.0757142857142857,39.11860321558555,39.11860321558555
S5,high,16,0.8076923076923076,0.00013020833333333333,1.0,0.0,0.0,1.0,3,3,1.0,1.0,18268.75,18268.75,0.0757142857142857,0.0757142857142857,39.11860321558555,39.11860321558555
S6,severe,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.125,0.875,4,4,1.0,1.0,5212.25,5212.25,1.0,1.0,22.36362007240052,22.36362007240052
S6,low,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,4,4,1.0,1.0,5474.75,5474.75,1.0,1.0,27.554108244910346,27.554108244910346
S6,medium,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,4,4,1.0,1.0,5661.75,5661.75,1.0,1.0,30.599743764035495,30.599743764035495
S6,high,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,4,4,1.0,1.0,6067.25,6067.25,1.0,1.0,33.34148304587747,33.34148304587747
S7,severe,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.1875,0.8125,0,0,,,15468.75,15468.75,0.0,0.0,29.29336427595967,29.29336427595967
S7,low,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0625,0.9375,0,0,,,15746.75,15746.75,0.0,0.0,37.73857198086331,37.73857198086331
S7,medium,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,15983.375,15983.375,0.0,0.0,40.50472647873967,40.50472647873967
S7,high,16,0.8333333333333335,0.00013020833333333333,1.0,0.0,0.0,1.0,0,0,,,16028.5,16028.5,0.0,0.0,41.32538883006559,41.32538883006559
S8,severe,16,1.0,0.0,1.0,0.0,0.0,1.0,0,0,,,,,,,,
S8,low,16,1.0,0.0,1.0,0.0,0.0,1.0,0,0,,,,,,,,
S8,medium,16,1.0,0.0,1.0,0.0,0.0,1.0,0,0,,,,,,,,
S8,high,16,1.0,0.0,1.0,0.0,0.0,1.0,0,0,,,,,,,,
