budget,n_episodes,psnr_effect_db,ssim_effect,charged_bytes_effect,roi_area_effect_ratio,roi_area_effect_percentage_points
severe,32,-0.29486785286327644,-0.00536856713145745,0.265625,3.8248697916666655e-05,0.0038248697916666657
low,32,-0.16917921823408322,-0.003182176596025193,-12.546875,3.8248697916666655e-05,0.0038248697916666657
medium,32,0.005306537063237693,6.710437258143631e-05,14.453125,3.8248697916666655e-05,0.0038248697916666657
high,32,0.008105103152802107,9.55562751967301e-05,20.359375,3.8248697916666655e-05,0.0038248697916666657
